hpo_term_id,hpo_term_name,phecode,phecode_name
HP:0000199,Tongue nodules,293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"
HP:0000201,Pierre-Robin sequence,749.2,Congenital anomalies of skull and face bones
HP:0000202,Oral cleft,749.1,Cleft palate
HP:0000204,Cleft upper lip,749.1,Cleft palate
HP:0000206,Glossitis,529.1,Glossitis
HP:0000211,Trismus,350.1,Abnormal involuntary movements
HP:0000212,Gingival overgrowth,523,Gingival and periodontal diseases
HP:0000214,Lip telangiectasia,217.1,"Nevus, non-neoplastic"
HP:0000217,Xerostomia,527.7,Disturbance of salivary secretion
HP:0000218,High palate,750.13,Congenital anomalies of mouth/tongue
HP:0000220,Velopharyngeal insufficiency,750.13,Congenital anomalies of mouth/tongue
HP:0000221,Furrowed tongue,529,Diseases and other conditions of the tongue
HP:0000222,Gingival hyperkeratosis,523,Gingival and periodontal diseases
HP:0000224,Decreased taste sensation,350.6,Disturbances of sensation of smell and taste
HP:0000225,Gingival bleeding,523,Gingival and periodontal diseases
HP:0000227,Tongue telangiectasia,448,Disease of capillaries
HP:0000230,Gingivitis,523.1,Gingivitis
HP:0000238,Hydrocephalus,331.1,Hydrocephalus
HP:0000243,Trigonocephaly,749.2,Congenital anomalies of skull and face bones
HP:0000244,Brachyturricephaly,749.2,Congenital anomalies of skull and face bones
HP:0000246,Sinusitis,475,Chronic sinusitis
HP:0000248,Brachycephaly,749.2,Congenital anomalies of skull and face bones
HP:0000252,Microcephaly,752.2,Other specified congenital anomalies of nervous system
HP:0000253,Progressive microcephaly,752.2,Other specified congenital anomalies of nervous system
HP:0000256,Macrocephaly,749.2,Congenital anomalies of skull and face bones
HP:0000262,Turricephaly,749.2,Congenital anomalies of skull and face bones
HP:0000263,Oxycephaly,749.2,Congenital anomalies of skull and face bones
HP:0000265,Mastoiditis,381.3,Mastoiditis & related conditions
HP:0000267,Cranial asymmetry,749.2,Congenital anomalies of skull and face bones
HP:0000268,Dolichocephaly,749,Congenital anomalies of face and neck
HP:0000278,Retrognathia,526.3,Anomalies of jaw size/symmetry
HP:0000282,Facial edema,782.3,Edema
HP:0000297,Facial hypotonia,358,Myoneural disorders
HP:0000303,Mandibular prognathia,526.3,Anomalies of jaw size/symmetry
HP:0000308,Microretrognathia,526.3,Anomalies of jaw size/symmetry
HP:0000316,Hypertelorism,376,Disorders of the orbit
HP:0000317,Facial myokymia,352.2,Facial nerve disorders [CN7]
HP:0000327,Hypoplasia of the maxilla,526.3,Anomalies of jaw size/symmetry
HP:0000329,Facial hemangioma,228.1,Hemangioma of skin and subcutaneous tissue
HP:0000347,Micrognathia,526.3,Anomalies of jaw size/symmetry
HP:0000356,Abnormality of the outer ear,749,Congenital anomalies of face and neck
HP:0000360,Tinnitus,389.4,Tinnitus
HP:0000362,Otosclerosis,383,Otosclerosis
HP:0000365,Hearing impairment,389,Hearing loss
HP:0000381,Stapes ankylosis,741.1,Ankylosis of joint
HP:0000384,Preauricular skin tag,749,Congenital anomalies of face and neck
HP:0000388,Otitis media,381.1,Otitis media
HP:0000389,Chronic otitis media,381.1,Otitis media
HP:0000394,Lop ear,749,Congenital anomalies of face and neck
HP:0000400,Macrotia,749,Congenital anomalies of face and neck
HP:0000402,Stenosis of the external auditory canal,380,Disorders of external ear
HP:0000403,Recurrent otitis media,381.1,Otitis media
HP:0000405,Conductive hearing impairment,389.2,Conductive hearing loss
HP:0000407,Sensorineural hearing impairment,389.1,Sensorineural hearing loss
HP:0000408,Progressive sensorineural hearing impairment,389.1,Sensorineural hearing loss
HP:0000410,Mixed hearing impairment,389,Hearing loss
HP:0000413,Atresia of the external auditory canal,749,Congenital anomalies of face and neck
HP:0000421,Epistaxis,477,Epistaxis or throat hemorrhage
HP:0000434,Nasal mucosa telangiectasia,448,Disease of capillaries
HP:0000452,Choanal stenosis,749,Congenital anomalies of face and neck
HP:0000453,Choanal atresia,749,Congenital anomalies of face and neck
HP:0000458,Anosmia,350.6,Disturbances of sensation of smell and taste
HP:0000465,Webbed neck,749,Congenital anomalies of face and neck
HP:0000467,Neck muscle weakness,772.3,Muscle weakness
HP:0000468,Increased adipose tissue around the neck,278.3,Localized adiposity
HP:0000471,Gastrointestinal angiodysplasia,537.1,Lesions of stomach and duodenum
HP:0000473,Torticollis,723.1,Torticollis
HP:0000476,Cystic hygroma,228,"Hemangioma and lymphangioma, any site"
HP:0000478,Abnormality of the eye,360,Disorders of the globe
HP:0000480,Retinal coloboma,753.2,Congenital anomalies of posterior segment of eye
HP:0000481,Abnormal cornea morphology,364,Corneal opacity and other disorders of cornea
HP:0000482,Microcornea,753,Congenital anomalies of the eye
HP:0000483,Astigmatism,367.2,Astigmatism
HP:0000484,Hyperopic astigmatism,367.2,Astigmatism
HP:0000485,Megalocornea,753,Congenital anomalies of the eye
HP:0000486,Strabismus,378,Strabismus and other disorders of binocular eye movements
HP:0000488,Retinopathy,362.3,Other nondiabetic retinopathy
HP:0000490,Deeply set eye,376,Disorders of the orbit
HP:0000491,Keratitis,370,Keratitis
HP:0000495,Recurrent corneal erosions,364.4,Corneal degenerations
HP:0000496,Abnormality of eye movement,378,Strabismus and other disorders of binocular eye movements
HP:0000498,Blepharitis,371.3,Inflammation of eyelids
HP:0000501,Glaucoma,365,Glaucoma
HP:0000505,Visual impairment,367.9,Blindness and low vision
HP:0000506,Telecanthus,374,Other disorders of eyelids
HP:0000508,Ptosis,374.3,Ptosis of eyelid
HP:0000509,Conjunctivitis,369.5,"Conjunctivitis, infectious"
HP:0000510,Rod-cone dystrophy,362.7,Hereditary retinal dystrophies
HP:0000511,Vertical supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements
HP:0000512,Abnormal electroretinogram,346,Abnormal findings on study of brain and/or nervous system
HP:0000514,Slow saccadic eye movements,378.2,Nystagmus and other irregular eye movements
HP:0000517,Abnormality of the lens,372,Disorders of conjunctiva
HP:0000518,Cataract,366,Cataract
HP:0000519,Congenital cataract,753.1,Congenital cataract and lens anomalies
HP:0000520,Proptosis,242.3,Exophthalmos
HP:0000522,Alacrima,375,Disorders of lacrimal system
HP:0000523,Subcapsular cataract,366,Cataract
HP:0000524,Conjunctival telangiectasia,448,Disease of capillaries
HP:0000526,Aniridia,753,Congenital anomalies of the eye
HP:0000528,Anophthalmia,753,Congenital anomalies of the eye
HP:0000529,Progressive visual loss,367.9,Blindness and low vision
HP:0000531,Corneal crystals,364,Corneal opacity and other disorders of cornea
HP:0000533,Chorioretinal atrophy,363.4,Choroidal degenerations
HP:0000540,Hypermetropia,367.8,Hypermetropia
HP:0000541,Retinal detachment,361,Retinal detachments and defects
HP:0000542,Impaired ocular adduction,378,Strabismus and other disorders of binocular eye movements
HP:0000543,Optic disc pallor,377.1,Optic atrophy
HP:0000544,External ophthalmoplegia,378.5,Paralytic strabismus
HP:0000545,Myopia,367.1,Myopia
HP:0000546,Retinal degeneration,362,Other retinal disorders
HP:0000548,Cone/cone-rod dystrophy,362.7,Hereditary retinal dystrophies
HP:0000549,Abnormal conjugate eye movement,378,Strabismus and other disorders of binocular eye movements
HP:0000550,Undetectable electroretinogram,346,Abnormal findings on study of brain and/or nervous system
HP:0000551,Abnormality of color vision,368.5,Color vision deficiencies
HP:0000552,Tritanomaly,368.5,Color vision deficiencies
HP:0000554,Uveitis,371.1,"Uveitis, noninfectious or NOS"
HP:0000555,Leukocoria,360,Disorders of the globe
HP:0000556,Retinal dystrophy,362.7,Hereditary retinal dystrophies
HP:0000557,Buphthalmos,753,Congenital anomalies of the eye
HP:0000558,Rieger anomaly,753,Congenital anomalies of the eye
HP:0000559,Corneal scarring,364,Corneal opacity and other disorders of cornea
HP:0000563,Keratoconus,364.41,Keratoconus
HP:0000564,Lacrimal duct atresia,375,Disorders of lacrimal system
HP:0000565,Esotropia,378.1,Strabismus (not specified as paralytic)
HP:0000567,Chorioretinal coloboma,753.2,Congenital anomalies of posterior segment of eye
HP:0000568,Microphthalmia,753,Congenital anomalies of the eye
HP:0000570,Abnormality of saccadic eye movements,378.2,Nystagmus and other irregular eye movements
HP:0000571,Hypometric saccades,378.2,Nystagmus and other irregular eye movements
HP:0000572,Visual loss,367.9,Blindness and low vision
HP:0000573,Retinal hemorrhage,362.8,Retinal hemorrhage/ischemia
HP:0000575,Scotoma,368.4,Visual field defects
HP:0000576,Centrocecal scotoma,368.4,Visual field defects
HP:0000577,Exotropia,378.1,Strabismus (not specified as paralytic)
HP:0000579,Nasolacrimal duct obstruction,375,Disorders of lacrimal system
HP:0000580,Pigmentary retinopathy,362.7,Hereditary retinal dystrophies
HP:0000581,Blepharophimosis,374,Other disorders of eyelids
HP:0000585,Band keratopathy,364.4,Corneal degenerations
HP:0000587,Abnormality of the optic nerve,377,Disorders of optic nerve and visual pathways
HP:0000588,Optic nerve coloboma,377,Disorders of optic nerve and visual pathways
HP:0000589,Coloboma,753,Congenital anomalies of the eye
HP:0000590,Progressive external ophthalmoplegia,378,Strabismus and other disorders of binocular eye movements
HP:0000592,Blue sclerae,753,Congenital anomalies of the eye
HP:0000597,Ophthalmoparesis,378.5,Paralytic strabismus
HP:0000602,Ophthalmoplegia,378.5,Paralytic strabismus
HP:0000603,Central scotoma,368.4,Visual field defects
HP:0000605,Supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements
HP:0000608,Macular degeneration,362.2,Degeneration of macula and posterior pole of retina
HP:0000609,Optic nerve hypoplasia,377.3,Optic neuritis/neuropathy
HP:0000612,Iris coloboma,753,Congenital anomalies of the eye
HP:0000613,Photophobia,368.9,Subjective visual disturbances
HP:0000616,Miosis,379.4,Anomalies of pupillary function
HP:0000617,Abnormality of ocular smooth pursuit,378,Strabismus and other disorders of binocular eye movements
HP:0000618,Blindness,367.9,Blindness and low vision
HP:0000620,Dacryocystitis,369,Infection of the eye
HP:0000621,Entropion,374.1,Ectropion or entropion
HP:0000622,Blurred vision,368,Visual disturbances
HP:0000623,Supranuclear ophthalmoplegia,333.8,Other degenerative diseases of the basal ganglia
HP:0000625,Eyelid coloboma,749,Congenital anomalies of face and neck
HP:0000627,Posterior embryotoxon,753,Congenital anomalies of the eye
HP:0000632,Lacrimation abnormality,375,Disorders of lacrimal system
HP:0000633,Decreased lacrimation,375.1,Dry eyes
HP:0000634,Impaired ocular abduction,378,Strabismus and other disorders of binocular eye movements
HP:0000636,Upper eyelid coloboma,753,Congenital anomalies of the eye
HP:0000639,Nystagmus,378.2,Nystagmus and other irregular eye movements
HP:0000640,Gaze-evoked nystagmus,378.2,Nystagmus and other irregular eye movements
HP:0000641,Dysmetric saccades,378.2,Nystagmus and other irregular eye movements
HP:0000642,Red-green dyschromatopsia,368.5,Color vision deficiencies
HP:0000643,Blepharospasm,333.4,Torsion dystonia
HP:0000646,Amblyopia,368.1,Amblyopia
HP:0000647,Sclerocornea,753,Congenital anomalies of the eye
HP:0000648,Optic atrophy,377.1,Optic atrophy
HP:0000649,Abnormality of visual evoked potentials,346,Abnormal findings on study of brain and/or nervous system
HP:0000650,Abnormal amplitude of pattern reversal visual evoked potentials,346,Abnormal findings on study of brain and/or nervous system
HP:0000651,Diplopia,368.2,Diplopia and disorders of binocular vision
HP:0000652,Lower eyelid coloboma,753,Congenital anomalies of the eye
HP:0000654,Decreased light- and dark-adapted electroretinogram amplitude,346,Abnormal findings on study of brain and/or nervous system
HP:0000656,Ectropion,374.1,Ectropion or entropion
HP:0000657,Oculomotor apraxia,378,Strabismus and other disorders of binocular eye movements
HP:0000658,Eyelid apraxia,374,Other disorders of eyelids
HP:0000659,Peters anomaly,753,Congenital anomalies of the eye
HP:0000660,Lipemia retinalis,362.4,Retinal vascular changes and abnomalities
HP:0000662,Nyctalopia,368,Visual disturbances
HP:0000666,Horizontal nystagmus,378.2,Nystagmus and other irregular eye movements
HP:0000667,Phthisis bulbi,360,Disorders of the globe
HP:0000668,Hypodontia,520.1,Hereditary disturbances in tooth structure
HP:0000670,Carious teeth,521.1,Dental caries
HP:0000674,Anodontia,520.1,Hereditary disturbances in tooth structure
HP:0000675,Macrodontia of permanent maxillary central incisor,520.1,Hereditary disturbances in tooth structure
HP:0000677,Oligodontia,520.1,Hereditary disturbances in tooth structure
HP:0000678,Dental crowding,524.3,Anomalies of tooth position/malocclusion
HP:0000679,Taurodontia,520.1,Hereditary disturbances in tooth structure
HP:0000680,Delayed eruption of primary teeth,520.2,Disturbances in tooth eruption
HP:0000684,Delayed eruption of teeth,520.2,Disturbances in tooth eruption
HP:0000685,Hypoplasia of teeth,520.1,Hereditary disturbances in tooth structure
HP:0000687,Widely spaced teeth,524.3,Anomalies of tooth position/malocclusion
HP:0000689,Dental malocclusion,524.3,Anomalies of tooth position/malocclusion
HP:0000690,Agenesis of maxillary lateral incisor,520.2,Disturbances in tooth eruption
HP:0000691,Microdontia,520.1,Hereditary disturbances in tooth structure
HP:0000692,Misalignment of teeth,524.3,Anomalies of tooth position/malocclusion
HP:0000694,Shell teeth,520.1,Hereditary disturbances in tooth structure
HP:0000695,Natal tooth,520.2,Disturbances in tooth eruption
HP:0000696,Delayed eruption of permanent teeth,520.2,Disturbances in tooth eruption
HP:0000698,Conical tooth,520.1,Hereditary disturbances in tooth structure
HP:0000699,Diastema,524.3,Anomalies of tooth position/malocclusion
HP:0000703,Dentinogenesis imperfecta,520.1,Hereditary disturbances in tooth structure
HP:0000704,Periodontitis,523.3,Periodontitis (acute or chronic)
HP:0000705,Amelogenesis imperfecta,520.1,Hereditary disturbances in tooth structure
HP:0000706,Unerupted tooth,520.2,Disturbances in tooth eruption
HP:0000708,Behavioral abnormality,312,Conduct disorders
HP:0000709,Psychosis,295.3,Psychosis
HP:0000712,Emotional lability,1004,Other signs and symptoms involving emotional state
HP:0000713,Agitation,300,Anxiety disorders
HP:0000716,Depressivity,296.2,Depression
HP:0000717,Autism,313.3,Autism
HP:0000718,Aggressive behavior,312,Conduct disorders
HP:0000720,Mood swings,1004,Other signs and symptoms involving emotional state
HP:0000722,Obsessive-compulsive behavior,300.3,Obsessive-compulsive disorders
HP:0000725,Psychotic episodes,295.3,Psychosis
HP:0000726,Dementia,290.1,Dementias
HP:0000727,Frontal lobe dementia,290.12,Dementia with cerebral degenerations
HP:0000728,Impaired ability to form peer relationships,313,Pervasive developmental disorders
HP:0000729,Autistic behavior,313.3,Autism
HP:0000733,Stereotypy,313.2,Tics and stuttering
HP:0000736,Short attention span,313.1,Attention deficit hyperactivity disorder
HP:0000737,Irritability,1004,Other signs and symptoms involving emotional state
HP:0000738,Hallucinations,292.6,Hallucinations
HP:0000739,Anxiety,300.1,Anxiety disorder
HP:0000740,Episodic paroxysmal anxiety,300.1,Anxiety disorder
HP:0000746,Delusions,295.2,Paranoid disorders
HP:0000750,Delayed speech and language development,315.2,Speech and language disorder
HP:0000751,Personality changes,290.3,Other persistent mental disorders due to conditions classified elsewhere
HP:0000752,Hyperactivity,313.1,Attention deficit hyperactivity disorder
HP:0000756,Agoraphobia,300.12,"Agorophobia, social phobia, and panic disorder"
HP:0000763,Sensory neuropathy,356,Hereditary and idiopathic peripheral neuropathy
HP:0000764,Peripheral axonal degeneration,356,Hereditary and idiopathic peripheral neuropathy
HP:0000766,Abnormality of the sternum,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000767,Pectus excavatum,756.21,Pectus excavatum
HP:0000768,Pectus carinatum,756.22,Pectus carinatum
HP:0000771,Gynecomastia,612.2,Hypertrophy of breast (Gynecomastia)
HP:0000776,Congenital diaphragmatic hernia,756.1,Congenital anomalies of abdominal wall; diaphram
HP:0000777,Abnormality of the thymus,254,Diseases of thymus gland
HP:0000778,Hypoplasia of the thymus,254,Diseases of thymus gland
HP:0000786,Primary amenorrhea,626.11,Absent or infrequent menstruation
HP:0000787,Nephrolithiasis,594.1,Calculus of kidney
HP:0000789,Infertility,609,Male infertility and abnormal spermatozoa
HP:0000790,Hematuria,593,Hematuria
HP:0000791,Uric acid nephrolithiasis,274.11,Gouty arthropathy
HP:0000793,Membranoproliferative glomerulonephritis,580.11,Proliferative glomerulonephritis
HP:0000796,Urethral obstruction,599.1,Urinary obstruction
HP:0000798,Oligospermia,609.11,Azoospermia and oligospermia
HP:0000799,Renal steatosis,586,Other disorders of the kidney and ureters
HP:0000800,Cystic renal dysplasia,586.2,"Cyst of kidney, acquired"
HP:0000802,Impotence,605,Erectile dysfunction [ED]
HP:0000803,Renal cortical cysts,586.2,"Cyst of kidney, acquired"
HP:0000804,Xanthine nephrolithiasis,594,Urinary calculus
HP:0000805,Enuresis,313,Pervasive developmental disorders
HP:0000808,Penoscrotal hypospadias,751.12,Congenital anomalies of male genital organs
HP:0000813,Bicornuate uterus,751.11,Congenital anomalies of female genital organs
HP:0000819,Diabetes mellitus,250,Diabetes mellitus
HP:0000820,Abnormality of the thyroid gland,240,Simple and unspecified goiter
HP:0000821,Hypothyroidism,244,Hypothyroidism
HP:0000822,Hypertension,401,Hypertension
HP:0000823,Delayed puberty,259.3,Delay in sexual development and puberty NEC
HP:0000824,Growth hormone deficiency,253.5,Pituitary dwarfism
HP:0000825,Hyperinsulinemic hypoglycemia,251.1,Hypoglycemia
HP:0000826,Precocious puberty,259.4,Precocious sexual development and puberty NEC
HP:0000829,Hypoparathyroidism,252.2,Hypoparathyroidism
HP:0000830,Anterior hypopituitarism,253.2,Pituitary hypofunction
HP:0000831,Insulin-resistant diabetes mellitus,250,Diabetes mellitus
HP:0000832,Primary hypothyroidism,244,Hypothyroidism
HP:0000835,Adrenal hypoplasia,255.21,Glucocorticoid deficiency
HP:0000836,Hyperthyroidism,242,Thyrotoxicosis with or without goiter
HP:0000839,Pituitary dwarfism,253.5,Pituitary dwarfism
HP:0000840,Adrenogenital syndrome,255.3,Adrenogenital disorders
HP:0000842,Hyperinsulinemia,251.1,Hypoglycemia
HP:0000843,Hyperparathyroidism,252.1,Hyperparathyroidism
HP:0000845,Growth hormone excess,253.11,Acromegaly and gigantism
HP:0000846,Adrenal insufficiency,255.2,Adrenal hypofunction
HP:0000851,Congenital hypothyroidism,244.5,Congenital hypothyroidism
HP:0000852,Pseudohypoparathyroidism,275.5,Disorders of calcium/phosphorus metabolism
HP:0000853,Goiter,240,Simple and unspecified goiter
HP:0000854,Thyroid adenoma,226,Benign neoplasm of thyroid glands
HP:0000855,Insulin resistance,251.1,Hypoglycemia
HP:0000857,Neonatal insulin-dependent diabetes mellitus,250.1,Type 1 diabetes
HP:0000858,Menstrual irregularities,626.1,Irregular menstrual cycle/bleeding
HP:0000859,Hyperaldosteronism,255.12,Hyperaldosteronism
HP:0000863,Central diabetes insipidus,253.3,Diabetes insipidus
HP:0000867,Secondary hyperparathyroidism,252.1,Hyperparathyroidism
HP:0000868,Decreased fertility in females,626.8,"Infertility, female"
HP:0000869,Secondary amenorrhea,626.11,Absent or infrequent menstruation
HP:0000870,Prolactin excess,253.4,Anterior pituitary disorders
HP:0000871,Panhypopituitarism,253.2,Pituitary hypofunction
HP:0000872,Hashimoto thyroiditis,244,Hypothyroidism
HP:0000873,Diabetes insipidus,253.3,Diabetes insipidus
HP:0000875,Episodic hypertension,401,Hypertension
HP:0000876,Oligomenorrhea,626.11,Absent or infrequent menstruation
HP:0000877,Insulin-resistant diabetes mellitus at puberty,250.2,Type 2 diabetes
HP:0000878,11 pairs of ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000883,Thin ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000886,Deformed rib cage,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000887,Cupped ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000888,Horizontal ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000891,Cervical ribs,754,Congenital musculoskeletal deformities of spine
HP:0000892,Bifid ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000893,Bulging of the costochondral junction,733.6,Costochondritis
HP:0000896,Rib exostoses,726.4,Calcaneal spur; Exostosis NOS
HP:0000900,Thickened ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000902,Rib fusion,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000904,Flaring of rib cage,756.2,Pectus and other congenital anomalies of ribs/sternum
HP:0000905,Progressive clavicular acroosteolysis,733,Other disorders of bone and cartilage
